city,date,retail,grocery,parks,transit,work,home
Modena,2020-03-26,-86,-53,-88,-82,-73,39
Modena,2020-03-27,-83,-39,-84,-81,-71,39
Modena,2020-03-28,-87,-55,-88,-83,-68,28
Modena,2020-03-29,-96,-95,-89,-88,-65,25
Modena,2020-03-30,-81,-45,-77,-78,-69,34
Modena,2020-03-31,-90,-43,-77,-77,-70,36
Modena,2020-04-01,-89,-41,-77,-76,-69,36
Modena,2020-04-02,-89,-42,-77,-76,-69,36
Modena,2020-04-03,-85,-35,-79,-78,-69,37
Modena,2020-04-04,-89,-52,-86,-82,-65,27
Modena,2020-04-05,-96,-95,-88,-87,-64,25
Modena,2020-04-06,-82,-38,-73,-77,-65,32
Modena,2020-04-07,-81,-37,-74,-77,-66,34
Modena,2020-04-08,-81,-35,-75,-75,-65,33
Modena,2020-04-09,-80,-32,-79,-75,-65,34
Modena,2020-04-10,-79,-23,-78,-74,-66,35
Modena,2020-04-11,-86,-47,-85,-80,-64,27
Modena,2020-04-12,-96,-95,-89,-89,-67,25
Modena,2020-04-13,-96,-96,-80,-90,-92,44
Modena,2020-04-14,-79,-38,-75,-74,-61,31
Modena,2020-04-15,-78,-35,-75,-74,-60,32
Modena,2020-04-16,-77,-36,-77,-73,-59,32
Modena,2020-04-17,-78,-30,-76,-73,-60,33
Modena,2020-04-18,-84,-45,-84,-78,-59,26
Modena,2020-04-19,-94,-86,-86,-86,-58,24
Modena,2020-04-20,-78,-45,-82,-76,-57,30
Modena,2020-04-21,-77,-38,-76,-74,-57,31
Modena,2020-04-22,-77,-37,-73,-72,-56,30
Modena,2020-04-23,-76,-35,-73,-72,-56,30
Modena,2020-04-24,-74,-19,-73,-71,-56,31
Modena,2020-04-25,-95,-95,-83,-85,-76,30
Modena,2020-04-26,-90,-58,-82,-83,-51,22
Modena,2020-04-27,-71,-30,-64,-69,-52,27
Modena,2020-04-28,-75,-34,-72,-72,-53,29
Modena,2020-04-29,-73,-30,-67,-70,-52,28
Modena,2020-04-30,-69,-17,-73,-69,-52,27
Modena,2020-05-01,-94,-94,-77,-87,-89,47
Modena,2020-05-02,-78,-33,-76,-73,-54,24
Modena,2020-05-03,-89,-68,-76,-81,-45,22
Modena,2020-05-04,-56,-21,3,-53,-39,17
Modena,2020-05-05,-59,-22,-6,-54,-41,19
Modena,2020-05-06,-60,-23,-24,-55,-40,20
Modena,2020-05-07,-59,-24,-14,-55,-39,20
Modena,2020-05-08,-59,-18,-18,-55,-40,21
Modena,2020-05-09,-61,-27,-21,-53,-41,15
Modena,2020-05-10,-71,-51,-14,-56,-28,13
Modena,2020-05-11,-55,-26,-26,-56,-36,18
Modena,2020-05-12,-55,-23,-5,-53,-37,18
Modena,2020-05-13,-56,-23,-19,-55,-36,19
Modena,2020-05-14,-56,-25,-24,-53,-36,19
Modena,2020-05-15,-55,-16,-12,-53,-36,20
Modena,2020-05-16,-58,-23,-40,-55,-36,16
Modena,2020-05-17,-64,-43,9,-55,-18,12
Modena,2020-05-18,-36,-18,16,-45,-30,13
Modena,2020-05-19,-44,-19,-39,-52,-33,16
Modena,2020-05-20,-37,-16,14,-45,-33,15
Modena,2020-05-21,-37,-18,21,-43,-31,14
Modena,2020-05-22,-36,-10,24,-44,-31,14
Modena,2020-05-23,-35,-16,27,-36,-27,8
Modena,2020-05-24,-43,-28,36,-41,-9,6
Modena,2020-05-25,-32,-17,39,-41,-29,12
Modena,2020-05-26,-33,-14,40,-41,-29,12
Modena,2020-05-27,-32,-15,37,-39,-29,12
Modena,2020-05-28,-33,-15,26,-42,-29,12
Modena,2020-05-29,-34,-10,4,-44,-30,13
Modena,2020-05-30,-30,-14,32,-33,-23,6
Modena,2020-05-31,-39,-24,34,-39,-2,5
Modena,2020-06-01,-18,4,94,-35,-48,12
Modena,2020-06-02,-42,-53,129,-48,-80,20
Modena,2020-06-03,-29,-9,24,-35,-27,10
Modena,2020-06-04,-37,-16,-57,-45,-29,14
Modena,2020-06-05,-24,-6,37,-34,-27,10
Modena,2020-06-06,-22,-14,51,-23,-21,3
Modena,2020-06-07,-32,-18,22,-28,-3,3
Modena,2020-06-08,-28,-16,-13,-36,-26,10
Modena,2020-06-09,-26,-12,4,-38,-26,10
Modena,2020-06-10,-24,-11,15,-35,-25,10
Modena,2020-06-11,-24,-12,0,-38,-26,10
Modena,2020-06-12,-19,-7,53,-29,-26,7
Modena,2020-06-13,-26,-17,3,-29,-18,3
Modena,2020-06-14,-24,-16,49,-23,4,1
Modena,2020-06-15,-22,-13,8,-34,-25,8
Modena,2020-06-16,-16,-9,59,-30,-24,7
Modena,2020-06-17,-18,-11,26,-32,-24,8
