date,daily_cases,med_temp,med_hum,pm25,pm10,o3,retail,grocery,parks,transit,work,home,rt1,rt2
2020-07-20,0,25.5,57.6660513314124,25,17,66,-6,-4,98,-30,-24,2,1.27836744194664,1.14423473964167
2020-07-21,0,25.5,60.4440935572534,42,17,72,-4,-4,109,-30,-24,3,1.27710321561478,1.10156224253311
2020-07-22,2,26.2833333333333,59.6082046408075,46,18,76,-7,-5,86,-31,-24,3,1.27865553620467,1.07527978028937
2020-07-23,30,25,72.8508916757418,50,13,71,-5,-3,97,-31,-24,3,1.27975106341166,NaN
2020-07-24,2,21.7666666666667,75.4090287572858,38,12,33,-14,-3,59,-33,-25,5,1.28128327510984,NaN
2020-07-25,3,24,66.4039201724296,30,12,50,-11,-10,125,-14,-13,-4,1.28394027628682,NaN
2020-07-26,0,24.25,64.1294577766211,30,11,50,-15,-9,65,-4,6,-6,1.28545582910477,NaN
2020-07-27,0,25.5,67.4064565268709,34,16,64,-4,-2,117,-27,-26,2,1.28899007612037,NaN
2020-07-28,5,27.25,68.7142478721164,42,21,77,-4,-3,122,-29,-25,3,1.28890391104951,NaN
2020-07-29,6,27.5,68.9768690846089,57,21,82,-5,-5,103,-28,-25,3,1.29014548116314,NaN
2020-07-30,0,29.25,67.0993578483023,55,24,79,-4,-4,97,-31,-26,2,1.29159388385308,NaN
2020-07-31,2,28.75,62.1286821911941,61,21,76,-12,-4,75,-28,-27,2,1.29285882106171,NaN
2020-08-01,5,30,65.2100838563532,61,NaN,NaN,-16,-12,85,-17,-17,-4,1.29386281466635,NaN
