date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-06-27,28,29,49.2365741282041,55,20,66,8,-12,-13,79,17,-13,-2,2.62639862472088,1.06602526530486,0.798416070237018,2
2020-06-28,0,30,45.7326440940286,55,15,56,27,-12,-21,69,26,1,-4,2.66251336387734,1.05785317156411,0.798721672805205,2
2020-06-29,1,31.2,45.8291510153272,50,22,50,30,-8,-11,40,-12,-23,4,2.69580969180718,1.04913912940722,0.841812531310135,2
2020-06-30,0,29,64.3463625696999,55,26,60,29,-8,-6,44,-14,-22,4,2.7260553955621,1.04174082601831,0.862203815681866,2
2020-07-01,1,28,67.5694718572931,61,21,57,17,-7,-5,41,-13,-22,4,2.75216698284635,1.03499356790207,0.885988620276322,2
2020-07-02,2,28.8,60.6504017690083,46,16,53,18,-11,-8,28,-15,-23,5,2.77397103623413,1.02845422816592,0.923541461924316,2
2020-07-03,1,25,73.8549949244717,50,14,45,20,-14,-7,12,-12,-24,5,2.79213848509788,1.01968631711877,0.953209416634294,2
2020-07-04,2,25.3,62.8318334425878,42,9,43,25,-11,-13,91,19,-19,-2,2.80696399020585,1.01039308395672,0.948941582077086,2
2020-07-05,1,28,55.6956248557479,30,13,58,35,-11,-19,65,25,-3,-5,2.81784145087607,1.00387308333457,0.951628488527051,2
2020-07-06,4,29,51.4772070541808,42,22,71,31,-8,-9,38,-10,-24,2,2.82404712311659,0.998821601243753,0.952218468282415,2
2020-07-07,2,23.25,57.7928351969263,61,15,43,17,-7,-8,37,-14,-24,4,2.82608728250233,0.989936972365531,0.9594288652405,2
2020-07-08,2,24.75,34.5703256170145,38,20,46,34,-9,-9,48,-13,-23,3,2.82499384421449,0.985256312784522,0.972071489682217,2
2020-07-09,2,27,46.2189207635411,46,25,76,47,-10,-10,47,-11,-23,3,2.82032113646615,0.977305982815201,1.01526347161883,2
2020-07-10,5,28.2,51.7336447983891,59,30,87,33,-8,-8,54,3,-23,2,2.81222226901246,0.973219090280543,1.06830865115329,2
2020-07-11,0,26.25,67.0525287844882,65,18,50,14,-12,-12,67,25,-13,-2,2.80084127850214,0.968575801885558,1.13545024215535,2
2020-07-12,1,24.9,50.4099182079417,46,10,41,14,-8,-15,75,38,2,-5,2.7866688490025,0.963240852711847,1.16817265597055,2
2020-07-13,2,24.2,41.9016855746908,34,15,45,25,-5,-7,49,-5,-23,2,2.77050139205542,0.958643694189559,1.22785544850348,2
2020-07-14,0,24,44.0886496384451,42,21,49,38,-5,-9,51,-10,-23,3,2.75229367428967,0.95455646480796,1.28943015125497,2
2020-07-15,0,24,53.6656137928135,55,20,45,26,-6,-7,45,-14,-23,3,2.73208456814266,0.955147718953884,1.28804458666023,2
2020-07-16,0,26.3,49.7047821407498,55,20,62,41,-8,-9,52,-10,-23,2,2.71043681688076,0.953988074025486,1.32474191713492,2
2020-07-17,3,25.25,67.636121415647,55,20,51,22,-8,-9,54,-3,-24,2,2.68886791403636,0.952705576802232,1.36199663029718,2
2020-07-18,1,25,35.1539002990266,55,10,46,28,-8,-14,96,34,-14,-4,2.66822020559705,0.9510508506271,1.37106819467649,2
2020-07-19,6,27,39.0893407741242,30,14,63,39,-9,-19,81,37,-1,-6,2.64829580945682,0.949736984832729,1.43530751696812,2
2020-07-20,1,29.3,48.7407139360807,42,19,66,28,-5,-9,60,-4,-23,1,2.62880766640132,0.949557971239465,1.45116126583581,2
2020-07-21,0,29.3,48.8239135185896,53,20,66,29,-6,-10,58,-9,-22,2,2.60972548566639,0.94994424835619,1.4706679857624,2
2020-07-22,2,29.5,56.7878366859579,57,19,68,22,-9,-11,40,-13,-23,3,2.59164385098505,0.949811502881252,1.50125026392329,2
2020-07-23,0,29,50.0166818945518,55,19,66,22,-8,-11,48,-11,-22,2,2.57514329975536,0.951558830919952,NaN,2
2020-07-24,1,20.25,93.2859468411591,57,15,44,18,-10,-8,30,-4,-24,3,2.56046835164201,0.953292170787007,NaN,2
2020-07-25,7,27.8,38.3439591727617,46,13,48,26,-7,-14,100,40,-13,-4,2.54813444179697,0.953297969127117,NaN,2
2020-07-26,4,27.95,46.2947845235093,38,14,57,43,-8,-19,79,39,2,-6,2.53856450055075,0.952961988931222,NaN,2
2020-07-27,5,29,54.8079564379081,50,20,61,41,-6,-9,48,-2,-24,1,2.53139067183547,0.952947954938665,NaN,2
2020-07-28,0,31,53.7072749746636,55,25,85,28,-6,-10,50,-9,-23,2,2.52616130545072,0.95529609056606,NaN,2
2020-07-29,0,31,60.1036417535451,61,25,72,30,-7,-11,54,-12,-24,2,2.52313853171127,0.956002008604932,NaN,2
2020-07-30,7,32,53.8162106794552,68,28,78,27,-8,-17,45,-8,-24,2,2.5232267564886,0.955347131719711,NaN,2
2020-07-31,5,32.9,52.3896984459294,63,26,NaN,38,-8,-14,58,8,-24,1,2.52664753463097,0.954595357069393,NaN,2
2020-08-01,16,32,59.3528170637945,63,NaN,NaN,NaN,-7,-21,74,64,-16,-4,2.53308623011121,0.953706154911333,NaN,2
