date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-07-10,3,27.25,61.7944127060725,61,30,100,17,-13,-21,20,-59,-30,6,2.12179711938981,0.878647460313714,1.04129550811499,18
2020-07-11,4,24.4666666666667,68.7596750754583,70,16,59,13,-20,-27,12,-46,-16,1,2.0748490480228,0.877512033523891,1.07570113758994,18
2020-07-12,0,24,54.2431829475034,46,11,47,6,-20,-42,-1,-50,6,-3,2.02812302884454,0.8757320294001,1.08766367587011,18
2020-07-13,0,22.8166666666667,50.7700760664071,46,13,53,8,-8,-21,1,-60,-30,5,1.98209606524002,0.876185819655526,1.0891372985409,18
2020-07-14,1,22.25,55.8350527553558,34,18,59,12,-7,-19,16,-59,-29,6,1.93704769923261,0.873145920290975,1.0665492188579,18
2020-07-15,1,21.6833333333333,69.9300777795411,50,21,68,22,-4,-23,16,-58,-27,5,1.89345891337159,0.87370398345285,1.05180407251587,18
2020-07-16,1,23.35,68.0024783816886,55,18,63,17,-4,-21,10,-59,-28,6,1.85115355882698,0.873797211826363,1.04700859440855,18
2020-07-17,4,23.75,69.9721352403131,53,19,60,8,-9,-22,-6,-59,-30,5,1.81011245395017,0.87354762656996,1.0511089871188,18
2020-07-18,8,22.75,62.3430947888602,59,9,50,15,-16,-30,14,-50,-14,-1,1.77075388882276,0.873241759155392,1.07452615121389,18
2020-07-19,0,24.2833333333333,53.4667068061885,30,12,65,11,-18,-43,-2,-50,6,-3,1.73320785105052,0.87039741849483,1.12677988695019,18
2020-07-20,0,26,59.7160801765121,42,16,67,19,-7,-22,4,-60,-29,5,1.69746380672304,0.869967675396777,1.16499716633053,18
2020-07-21,1,26.7333333333333,60.4933508426056,53,19,65,25,-7,-21,-2,-61,-27,5,1.66293495912785,0.871219555841988,1.24208384726113,18
2020-07-22,4,26.25,63.3845505945507,53,18,73,14,-10,-24,-2,-61,-27,5,1.62953077459913,0.869777489479193,1.3383221010706,18
2020-07-23,0,26.25,70.7624544181894,42,18,74,8,-6,-23,-3,-60,-28,5,1.59793977120786,0.867719042168575,NaN,18
2020-07-24,3,19.5,85.7027970766647,55,11,39,20,-13,-27,-26,-60,-31,7,1.56806309852997,0.867275506346136,NaN,18
2020-07-25,2,24.0333333333333,66.1248286106475,50,17,70,17,-15,-30,13,-44,-15,-2,1.53934729926319,0.867230693909548,NaN,18
2020-07-26,0,25.25,69.6602245742227,53,18,57,12,-15,-44,-6,-51,7,-3,1.51184719048249,0.86891275008184,NaN,18
2020-07-27,0,25.5,72.7709320114787,55,20,70,36,-7,-22,-2,-61,-31,5,1.48573091403448,0.867540363193831,NaN,18
2020-07-28,1,27.25,64.8712151818972,57,30,82,22,-7,-22,-11,-59,-29,5,1.46142349745881,0.869211025418258,NaN,18
2020-07-29,0,27.75,65.9094447564797,72,25,74,20,-10,-24,-6,-61,-29,5,1.43894939704702,0.870193812164071,NaN,18
2020-07-30,0,30,59.550440601094,70,28,76,19,-8,-23,-10,-61,-30,6,1.41833185482565,0.871472839901899,NaN,18
2020-07-31,1,28.75,62.8133992664779,70,25,75,27,-10,-25,-21,-54,-31,5,1.39973746011327,0.869306770971644,NaN,18
2020-08-01,1,30.25,61.7490658801951,70,NaN,NaN,NaN,-19,-31,-18,-39,-20,-1,1.38302031405374,0.87019660100594,NaN,18
