date,daily_cases,med_temp,med_hum,pm25,pm10,o3,no2,so2,retail,grocery,parks,transit,work,home,infections,rt1,rt2
2020-07-07,5,23.6833333333333,49.5637233106475,59,12,45,24,8,-9,-10,69,-47,-31,7,3.66059940161835,0.906706736614131,0.991871657495132
2020-07-08,1,23,51.0146501495861,30,20,70,21,6,-10,-11,96,-46,-29,6,3.59105085891896,0.907305326984603,0.99684421227207
2020-07-09,6,24.75,65.1284643976186,30,24,92,23,2,-12,-11,56,-44,-29,6,3.5241156755783,0.907160604928197,0.996609712042898
2020-07-10,3,27.25,61.7944127060725,55,31,103,20,4,-16,-17,62,-44,-31,6,3.45959327124648,0.907532127565871,1.02587156615204
2020-07-11,3,24.4666666666667,68.7596750754583,65,17,69,20,1,-26,-23,23,-30,-15,1,3.39693210134571,0.910344335910715,1.02934816450147
2020-07-12,7,24,54.2431829475034,57,9,44,15,1,-29,-26,29,-6,12,-4,3.33612647951027,0.910843988499292,1.04373052893637
2020-07-13,2,22.8166666666667,50.7700760664071,17,10,48,17,10,-13,-13,24,-47,-31,6,3.27808461302057,0.910065809168656,1.05692150818259
2020-07-14,1,22.25,55.8350527553558,38,13,53,20,3,-9,-12,65,-45,-30,6,3.22283077286723,0.91321857181838,1.07751371240393
2020-07-15,3,21.6833333333333,69.9300777795411,38,22,59,27,4,-10,-11,69,-47,-28,6,3.1693554999822,0.913713575493294,1.06971315341587
2020-07-16,2,23.35,68.0024783816886,59,18,59,24,1,-10,-13,51,-46,-29,6,3.11835512531116,0.914074704287193,1.06153085261241
2020-07-17,3,23.75,69.9721352403131,57,19,48,17,3,-15,-18,50,-46,-31,6,3.07032740878926,0.915678159941518,1.05875877194062
2020-07-18,4,22.75,62.3430947888602,59,5,48,18,1,-25,-24,48,-29,-13,-2,3.02482126602998,0.917328215449397,1.06191361083726
2020-07-19,7,24.2833333333333,53.4667068061885,9,9,61,17,1,-31,-28,28,-18,14,-5,2.98197004575711,0.917258705269314,1.08369153400266
2020-07-20,4,26,59.7160801765121,30,NaN,63,24,1,-15,-15,31,-47,-30,5,2.94206486297543,0.919213452556254,1.09321840100627
2020-07-21,2,26.7333333333333,60.4933508426056,NaN,14,74,18,NaN,-11,-14,57,-49,-29,6,2.90496776426979,0.920080410340313,1.13599296626981
2020-07-22,6,26.25,63.3845505945507,21,16,80,21,1,-13,-14,66,-47,-28,6,2.87093157015694,0.921006744117843,1.17874279666982
2020-07-23,3,26.25,70.7624544181894,46,17,81,16,12,-12,-12,43,-43,-29,5,2.84001871106044,0.921075649208056,NaN
2020-07-24,2,19.5,85.7027970766647,55,8,43,27,1,-20,-20,-2,-46,-32,7,2.81217398728834,0.922347076440952,NaN
2020-07-25,2,24.0333333333333,66.1248286106475,38,11,57,19,1,-25,-24,44,-30,-12,-2,2.78692106237912,0.922466932707047,NaN
2020-07-26,6,25.25,69.6602245742227,42,12,53,15,1,-28,-24,19,-27,14,-5,2.76422575313889,0.922608462931822,NaN
2020-07-27,2,25.5,72.7709320114787,30,17,74,21,1,-14,-13,28,-47,-32,5,2.74440599641702,0.923170908105403,NaN
2020-07-28,0,27.25,64.8712151818972,61,26,96,19,1,-11,-13,48,-48,-30,5,2.72748721021171,0.922689316352955,NaN
2020-07-29,4,27.75,65.9094447564797,72,26,79,25,1,-12,-13,68,-49,-30,5,2.71358327723333,0.921267978844721,NaN
2020-07-30,5,30,59.550440601094,65,31,101,23,3,-13,-13,27,-46,-32,5,2.70248493075021,0.920633156494773,NaN
2020-07-31,2,28.75,62.8133992664779,70,20,89,27,1,-16,-18,31,-46,-33,5,2.69383841416675,0.920189465387845,NaN
2020-08-01,5,30.25,61.7490658801951,55,NaN,NaN,NaN,NaN,-30,-26,6,-37,-19,-2,2.68739675546046,0.920486996011179,NaN
