date,daily_cases,med_temp,med_hum,pm25,retail,grocery,parks,transit,work,home,infections,rt1,rt2,city_id
2020-05-12,71,13.35,98.2690417743334,21,-59,-27,-12,-58,-47,21,17.9266907352203,0.811136854769173,0.802016115017695,21
2020-05-13,88,11.1,100,21,-68,-39,-63,-68,-49,25,17.2040849815497,0.817858281301664,0.790578174684303,21
2020-05-14,88,12.75,97.4618432589929,30,-59,-24,-12,-58,-47,22,16.5294327705314,0.822054753801181,0.786608482899886,21
2020-05-15,89,13.25,100,21,-61,-24,-20,-59,-47,24,15.8989853187296,0.826942854034622,0.774969993212151,21
2020-05-16,84,12.85,100,21,-67,-33,-55,-59,-33,18,15.3103946409402,0.831160044115808,0.76627154528139,21
2020-05-17,45,14.5,96.1620915639829,25,-73,-53,-17,-54,-19,13,14.7592872504861,0.83580462909013,0.752345228131828,21
2020-05-18,43,16.7,88.0678214181582,30,-43,-20,19,-49,-42,17,14.2421450608527,0.837098461300445,0.732670135481662,21
2020-05-19,53,16,82.9601087490607,38,-45,-19,9,-50,-42,18,13.7563762942255,0.839620580961775,0.710515483460058,21
2020-05-20,116,19.25,60.8086196157406,30,-44,-17,37,-49,-42,17,13.2962791344059,0.842702582257493,0.692440340025079,21
2020-05-21,57,18.35,76.6788423504387,34,-45,-15,21,-48,-42,17,12.8576600143542,0.847587303425441,0.692694992158333,21
2020-05-22,55,18.9,83.6392006931781,63,-46,-13,26,-48,-41,18,12.4411160576395,0.850535108437008,0.694185248138609,21
2020-05-23,33,18.15,93.8830896200737,76,-45,-20,-5,-40,-19,10,12.0489548057638,0.852439299348803,0.701591054885188,21
2020-05-24,17,17.45,54.7779741917514,57,-46,-36,26,-35,-4,4,11.6795986077705,0.855350329994028,0.711140191073849,21
2020-05-25,14,18.25,66.6329359630828,30,-34,-17,29,-47,-40,15,11.3281841431748,0.858176574425697,0.702129428580763,21
2020-05-26,47,17.9,62.5342717818433,38,-35,-14,32,-46,-38,15,10.992769037389,0.860384289708187,0.693542406983495,21
2020-05-27,38,16.85,71.0644542271789,42,-35,-13,32,-46,-38,15,10.6734020238807,0.861337131064336,0.695417660244149,21
2020-05-28,29,18.3,76.7369142906073,38,-35,-13,26,-45,-38,15,10.3691279603694,0.8629490600692,0.689760488216035,21
2020-05-29,32,14,79.9091611823714,53,-37,-11,17,-45,-39,16,10.0773036088654,0.863150958382885,0.68921723634305,21
2020-05-30,28,15.85,58.8547176450707,34,-37,-15,17,-32,-13,6,9.79623014960173,0.863077687485898,0.701702119045673,21
2020-05-31,20,15.7,75.5062617831834,42,-41,-31,11,-35,2,4,9.52440111947737,0.863050973040189,0.718870887567529,21
2020-06-01,12,18.3,73.6416100917373,57,-17,4,59,-40,-52,13,9.25988927926466,0.863758851145029,0.721515824041198,21
2020-06-02,25,19.25,81.9241982620078,55,-37,-44,110,-54,-76,18,9.00205306494041,0.862113301351411,0.756037976227502,21
2020-06-03,9,17,89.1833025999892,53,-37,-14,-11,-44,-37,14,8.751735644386,0.860362611898502,0.788975985678656,21
2020-06-04,9,14.2,100,42,-37,-12,-37,-47,-38,16,8.50760511752116,0.857849073497428,0.812513851597796,21
2020-06-05,12,17.6,61.5133017064909,25,-28,-9,42,-38,-35,12,8.26729982168531,0.856308296319625,0.847793151447667,21
2020-06-06,22,16.85,85.8812087949328,25,-30,-15,18,-29,-11,4,8.02955730842108,0.856095529096719,0.883067662155241,21
2020-06-07,4,15.25,100,25,-40,-30,-31,-42,-1,6,7.79510938224984,0.855430517308784,0.895835231664159,21
2020-06-08,7,13.15,99.046221047507,21,-35,-22,-31,-48,-37,14,7.56598990003097,0.854139624008943,0.898200427553075,21
2020-06-09,7,12.5,99.5098595756096,17,-32,-19,-27,-47,-36,14,7.34311513151742,0.85419370358135,0.87654096923235,21
2020-06-10,8,14.6,89.8448191744946,17,-24,-11,13,-41,-35,12,7.12574623863742,0.856113684667603,0.860801993011494,21
2020-06-11,29,13.4,100,25,-29,-16,-32,-46,-36,14,6.91418023835113,0.856908707680339,0.834941778259883,21
2020-06-12,16,13.3,100,25,-30,-13,-16,-44,-36,14,6.71031728433076,0.858090933341241,0.811605318555759,21
2020-06-13,10,14,88.7514195962573,30,-34,-18,-28,-39,-10,7,6.51444121563962,0.860999080554083,0.800287860212578,21
2020-06-14,14,18.3,60.915355594104,25,-25,-26,40,-23,10,-1,6.32594379964622,0.86363896762276,0.790349767975317,21
2020-06-15,1,18.15,63.9765797064277,25,-21,-15,27,-38,-33,9,6.14572385782919,0.868322338631251,0.792369063777203,21
2020-06-16,11,16.9,85.6240322508399,25,-24,-14,2,-40,-33,11,5.97444975486347,0.8718350659632,0.772984122141711,21
2020-06-17,17,15,96.8784703081155,21,-25,-14,-5,-41,-33,12,5.81275911662142,0.876022955948612,0.76944633775137,21
2020-06-18,5,15.35,96.9215488231211,17,-21,-11,7,-38,-33,10,5.66064677782211,0.880802005511475,0.772384603697865,21
2020-06-19,7,17.85,85.1610940777277,30,-18,-9,52,-33,-33,9,5.51740344307358,0.885896703263291,0.769363572746027,21
2020-06-20,8,19.1,65.1743094478013,25,-24,-15,32,-25,-6,0,5.38291284891718,0.891514411507884,0.770158436471058,21
2020-06-21,10,20.8,56.0250697535721,30,-29,-30,27,-24,9,-4,5.25717508507567,0.89524772655407,0.786361065505555,21
2020-06-22,5,22.85,51.8444017226048,30,-19,-14,38,-36,-35,8,5.14024403545441,0.897602194589252,0.792042094528904,21
2020-06-23,3,23.6,47.3354500384929,34,-16,-9,52,-33,-34,7,5.0308698707876,0.902570237048937,0.805124862625808,21
2020-06-24,7,22.6,73.8265202358948,NaN,-16,-17,61,-43,-44,10,4.92710742700517,0.907127692009902,0.832795712768319,21
2020-06-25,5,20.75,91.5521918354157,NaN,-20,-10,28,-34,-32,8,4.82915044121163,0.914989395694289,0.850185922021861,21
2020-06-26,5,19.6,80.5747741489538,NaN,-22,-10,36,-33,-33,8,4.73785866013377,0.920058752263458,0.87747649467951,21
2020-06-27,5,19.9,69.0252765086199,55,-29,-18,-2,-31,-9,1,4.65439783550859,0.925816532459315,0.886817769927902,21
2020-06-28,2,22.75,78.4475105528323,53,-28,-26,18,-23,13,-4,4.57837074348417,0.932824719196466,0.904791787982922,21
2020-06-29,1,24.2,85.6166717080199,46,-17,-11,35,-34,-32,6,4.50862478288596,0.939160190301273,0.905497357036245,21
2020-06-30,6,22.5,83.9005675258437,50,-15,-9,43,-33,-31,7,4.44548716870494,0.946574063962579,0.897845069373431,21
2020-07-01,5,22.5166666666667,84.6429942459856,25,-18,-9,12,-36,-30,8,4.38911781601984,0.955654589808444,0.885120739609843,21
2020-07-02,9,22.8,73.3883789063689,46,-16,-10,26,-32,-31,7,4.33965614814492,0.962418849203299,0.87716016348168,21
2020-07-03,2,20.125,91.0305843905269,38,-26,-14,-2,-37,-32,9,4.29789595414421,0.969889370490549,0.885546217729283,21
