date,pm25,pm10,o3,so2
2018-04-08,50,16,29,9
2018-04-09,55,12,25,9
2018-04-10,38,8,24,8
2018-04-11,25,9,23,5
2018-04-12,25,9,16,11
2018-04-13,21,5,21,10
2018-04-14,17,8,22,6
2018-04-15,25,11,16,8
2018-04-16,34,16,22,6
2018-04-17,42,10,28,5
2018-04-18,21,11,45,5
2018-04-19,30,15,50,3
2018-04-20,38,17,13,8
2018-04-21,42,22,31,6
2018-04-22,46, ,17,12
2018-04-24,59,24,7,23
2018-04-25,59,34,34,11
2018-04-26,68,28,15,17
2018-04-27,61, ,11,14
2018-04-29,50,21,16,9
2018-04-30,53,10,37,3
2018-05-01,25,10,29,4
2018-05-02,21,10,9,16
2018-05-03,30,16,8,9
2018-05-04,42,18,1,18
2018-05-05,50,14,2,13
2018-05-06,34,18,13,8
2018-05-07,46,16,14,10
2018-05-08,42,13,33,7
2018-05-09,30, ,22,7
2018-05-12,42,10,18,9
2018-05-13,30,10,22,9
2018-05-14,30,8,12,9
2018-05-15,30,7,13,5
2018-05-16,21,10,29,4
2018-05-17,34,5,23,5
2018-05-18,13,9,22,10
2018-05-19,25,9,21,5
2018-05-20,30,9,12,4
2018-05-21,21,9,18,6
2018-05-22,25,11,10,9
2018-05-23,34,10,14,5
2018-05-24,34,10,6,7
2018-05-25,21,11,26,4
2018-05-26,25,23,30,8
2018-05-27,57,20,37,8
2018-05-28,55,11,26,2
2018-05-29,30,14,11,5
2018-05-30,42, ,19,5
2018-06-02,53,13,24,4
2018-06-03,34,11,26,3
2018-06-04,34,16,14,8
2018-06-05,46,11,46,2
2018-06-06,25,15,28,3
2018-06-07,34,18,12,11
2018-06-08,50,10,17,4
2018-06-09,25,19,26,3
2018-06-10,34,40,28,4
2018-06-11,74,34,22,5
2018-06-12,80,22,15,7
2018-06-13,46,9,16,5
2018-06-14,21,5,21,5
2018-06-15,9,10,33,7
2018-06-16,21,12,37,6
2018-06-17,42,16,28,6
2018-06-18,46,14,26,9
2018-06-19,25,11,32,10
2018-06-20,30,20,34,9
2018-06-21,53,22,40,9
2018-06-22,59,10,39,2
2018-06-23,17,10,29,9
2018-06-24,9,12,27,9
2018-06-25,34,10,24,7
2018-06-26,30,10,22,7
2018-06-27,21,10,4,22
2018-06-28,21,7,39,2
2018-06-29,13,10,26,15
2018-06-30,30,15,49,8
2018-07-01,42,21,41,6
2018-01-02,119, , ,23
2018-01-05,63,28,1,27
2018-01-06,87,33, ,29
2018-01-07,95,30,1,17
2018-01-08,85,31,1,17
2018-01-09,93,17,1,20
2018-01-10,57,23, ,21
2018-01-11,63,19, ,15
2018-01-12,59,20,7,15
2018-01-13,59,19,7,14
2018-01-14,53,26,1,19
2018-01-15,70,30,3,19
2018-01-16,74,30, ,23
2018-01-17,76,22,12,18
2018-01-18,65,16,8,22
2018-01-19,46,21,1,36
2018-01-20,57,14,1,27
2018-01-21,42,10,19,7
2018-01-22,34,10,4,25
2018-01-23,25,21, ,23
2018-01-24,57,22, ,23
2018-01-25,57,27,1,26
2018-01-26,68,40, ,29
2018-01-27,95,26, ,21
2018-01-28,72,18,7,14
2018-01-29,59,22,3,21
2018-01-30,59,29,3,24
2018-01-31,70,38,5,20
2018-02-01,91,34, ,24
2018-02-02,89,6,8,18
2018-02-03,21,5,9,18
2018-02-04,13,11,19,4
2018-02-05,30,16,5,20
2018-02-06,46,27,2,27
2018-02-07,65, ,1,28
2018-02-09,61,29,2,21
2018-02-10,76,19, ,16
2018-02-11,57,14,17,11
2018-02-12,46,22, ,24
2018-02-13,70, , , 
2018-02-15,38,16,11,21
2018-02-16,42,25,9,22
2018-02-17,63,40,5,24
2018-02-18,93,31,8,18
2018-02-19,89,17,10,14
2018-02-20,59,16,17,11
2018-02-21,53,10,25,9
2018-02-22,34,16,13,17
2018-02-23,50,15,23,7
2018-02-24,46,19,18,10
2018-02-25,63,15,26,4
2018-02-26,53,10,34,2
2018-02-27,38,19,33,2
2018-02-28,63,30,23,10
2018-03-01,89,52,12,17
2018-03-02,144,47,4,28
2018-03-03,124,39,1,27
2018-03-04,114,23,13,13
2018-03-05,78,27,2,23
2018-03-06,80,16,8,18
2018-03-07,55,17,6,17
2018-03-08,63,7,11,13
2018-03-09,21,15,16,9
2018-03-10,46,27, ,24
2018-03-11,68,28,1,18
2018-03-12,78,8,3,19
2018-03-13,30,10,9,9
2018-03-14,30,15,15,9
2018-03-15,42,22, ,26
