date, pm25, pm10, no2
2018-08-06, , ,20
2018-08-07, , ,27
2018-08-08, , ,26
2018-08-09, , ,25
2018-08-10, , ,27
2018-08-11, , ,24
2018-08-12, , ,27
2018-08-13, , ,25
2018-08-14, , ,28
2018-08-15, , ,18
2018-08-16, , ,12
2018-08-17, , ,15
2018-08-18, , ,24
2018-08-20, , ,18
2018-08-21, , ,18
2018-08-22, , ,18
2018-08-23, , ,21
2018-08-24, , ,23
2018-08-25, , ,23
2018-08-26, , ,21
2018-08-27, , ,16
2018-08-28, , ,10
2018-08-29, , ,22
2018-08-30, , ,25
2018-08-31, , ,26
2018-09-01, , ,29
2018-09-02, , ,21
2018-09-03, , ,21
2018-09-04, , ,33
2018-09-05, , ,28
2018-09-06, , ,24
2018-09-30, , ,13
2018-10-01, , ,21
2018-04-16, , ,18
2018-04-17, , ,4
2018-05-23, , ,25
2018-05-24, , ,30
2018-05-25, , ,39
2018-05-26, , ,34
2018-05-27, , ,40
2018-05-28, , ,43
2018-05-29, , ,46
2018-05-30, , ,46
2018-05-31, , ,34
2018-06-01, , ,35
2018-06-02, , ,31
2018-06-03, , ,39
2018-06-04, , ,38
2018-06-05, , ,25
2018-06-08, , ,31
2018-06-09, , ,23
2018-06-10, , ,9
2018-06-11, , ,4
2018-06-12, , ,21
2018-06-13, , ,22
2018-06-14, , ,15
2018-06-15, , ,22
2018-06-16, , ,18
2018-06-17, , ,25
2018-06-18, , ,35
2018-06-19, , ,15
2018-06-20, , ,26
2018-06-21, , ,37
2018-06-22, , ,32
2018-06-23, , ,12
2018-06-24, , ,22
2018-06-25, , ,31
2018-06-26, , ,15
2018-03-16, , ,38
2018-03-17, , ,24
2018-03-18, , ,22
2018-03-19, , ,25
2018-03-20, , ,31
2018-03-21, , ,30
2018-03-22, , ,22
2018-03-23, , ,27
2018-03-24, , ,29
2018-03-25, , ,23
2018-03-26, , ,17
2018-03-27, , ,27
2018-03-28, , ,33
2018-03-29, , ,38
2018-03-30, , ,24
